tau_us,R_V
0.05,1.01049e-07
0.5736842105263158,2.94765e-06
1.0973684210526315,3.58747e-06
1.6210526315789473,4.42614e-06
2.144736842105263,4.96305e-06
2.6684210526315786,4.96305e-06
3.1921052631578943,5.28901e-06
3.71578947368421,5.51905e-06
4.239473684210526,5.26433e-06
4.763157894736842,4.76654e-06
5.286842105263157,5.08412e-06
5.810526315789473,4.55513e-06
6.334210526315789,4.44942e-06
6.857894736842105,4.53743e-06
7.38157894736842,3.97678e-06
7.905263157894736,3.80773e-06
8.428947368421053,3.23077e-06
8.952631578947368,4.29203e-06
9.476315789473684,4.19797e-06
10.0,4.38796e-06
0.05,6.33304e-08
0.5736842105263158,2.93275e-06
1.0973684210526315,3.81659e-06
1.6210526315789473,4.46805e-06
2.144736842105263,5.21078e-06
2.6684210526315786,5.02777e-06
3.1921052631578943,5.21637e-06
3.71578947368421,5.05199e-06
4.239473684210526,5.23779e-06
4.763157894736842,5.08831e-06
5.286842105263157,4.862e-06
5.810526315789473,4.71951e-06
6.334210526315789,4.51089e-06
6.857894736842105,4.42241e-06
7.38157894736842,3.65918e-06
7.905263157894736,3.71366e-06
8.428947368421053,3.29643e-06
8.952631578947368,4.57655e-06
9.476315789473684,4.19843e-06
10.0,4.22078e-06
0.05,2.37488e-07
0.5736842105263158,2.83775e-06
1.0973684210526315,3.71972e-06
1.6210526315789473,4.51974e-06
2.144736842105263,4.83406e-06
2.6684210526315786,4.9989e-06
3.1921052631578943,5.50834e-06
3.71578947368421,5.10368e-06
4.239473684210526,5.39565e-06
4.763157894736842,5.3393e-06
5.286842105263157,4.62963e-06
5.810526315789473,4.57003e-06
6.334210526315789,4.72044e-06
6.857894736842105,3.88364e-06
7.38157894736842,3.90087e-06
7.905263157894736,3.85198e-06
8.428947368421053,3.57164e-06
8.952631578947368,4.49133e-06
9.476315789473684,4.20868e-06
10.0,4.11135e-06
